Sno,Process,Frequency,YN,Aliases
37,sticky,534,,D
2468,stiff,254,0,
1063,still,82,0,
4534,stir,83579,1,
3357,stir-fry,2024,1,
4119,stirred,50,0,
9918,stirring,29616,1,
8663,stock,69,0,
6759,stockpot,163,0,
6482,stone,80,0,
8707,stop,66,1,
4984,storage,69,0,
3381,store,2583,1,
2806,stove,224,0,
496,strain,2996,1,
3368,strainer,215,0,
3852,strawberry,74,0,
5410,stream,304,1,
10041,stretch,87,1,
5331,string,178,0,
5301,strip,71,1,
10260,strong,47,0,
8293,stuff,682,1,
3877,stuffing,84,0,
8635,style,159,1,
2504,submerge,120,1,
2146,subside,64,0,
2895,substitute,76,0,
6748,sugar,73,0,
7121,suggested,51,0,
8643,surface,656,0,
2519,surround,95,0,
6717,sweat,150,1,
3547,sweet,119,0,
586,sweeten,49,1,
5576,swirl,235,1,
330,switch,88,0,
5712,syrup,401,0,
3841,syrupy,79,0,
6411,take,1074,1,
2402,taste,6363,1,
1455,tbsp,61,0,
6264,tear,270,1,
3591,temperature,68,0,
8842,tender,16520,0,
9984,tent,47,0,
8283,test,195,1,
10176,texture,145,0,
9848,that,308,0,
6898,thaw,193,1,
8796,the,1151,0,
1968,them,130,0,
5280,then,1181,0,
9887,there,222,0,
6811,these,497,0,
236,they,148,0,
3499,thick,76,0,
756,thicken,1611,1,thickened
4382,thin,567,0,
5886,this,321,0,
6119,thread,566,1,
9659,through,48,0,
3011,throw,250,1,
84,tie,243,1,
9320,tilt,76,1,
435,time,3702,0,
5097,tin,100,0,
344,tip,333,0,
9811,toast,1018,1,
7132,toasted,295,0,
5173,together,692,0,
10238,top,11039,1,
2114,topping,319,0,
2387,toss,3247,1,
1720,touch,53,1,
3615,towel,52,0,
5122,traditionally,49,0,
8649,transfer,13158,1,
827,translucent,947,0,
3265,transparent,174,0,
154,tray,68,0,
4432,trim,894,1,
8907,try,132,0,
5034,tuck,149,1,
8187,turn,1101,1,
4967,turning,48,0,
8438,twice,241,0,
2092,twist,119,1,
323,uncover,1382,1,
3300,uncovered,1189,1,
8333,unfold,88,1,
2040,unmold,116,1,
8951,unroll,153,1,
1190,unwrap,145,1,
8343,use,375,0,
6657,used,56,0,
7270,vary,52,0,
10018,very,184,0,
6166,wait,190,1,
8605,warm,617,1,
6393,wash,2560,1,
9949,watch,318,,D
430,water,89,0,
1293,weed,64,0,
2494,well,1840,0,
5708,wet,210,1,
566,what,66,0,
3067,whatever,48,0,
568,while,3606,0,
841,whilst,58,0,
4342,whip,658,1,
6840,whirl,78,1,
2041,whisk,11519,1,
9721,whiskey,69,0,
4,whisking,1288,0,
1088,wide,55,0,
2461,will,176,0,
5123,wilt,48,1,
5114,wine,67,0,
8861,wipe,563,1,
7864,with,185,0,
113,wok,418,1,
3186,worcestershire,198,0,
5936,work,429,0,
7998,working,751,0,
1203,worry,59,0,
1939,wrap,2184,1,
4902,yield,249,1,
999,yogurt,158,0,
8481,you,1197,0,
8133,your,117,0,
7986,zest,538,1,
3425,zucchini,80,0,
